id,screen_name,year,xinzuo,followers_count,friends_count,gender,location,mbrank,verified,verified_type
8315,33大顺,10,狮子座,180,130,f,上海,2,False,-1
8316,Abrjxks,-1,白羊座,72,566,f,山东,3,False,-1
8317,希望你快落,90,水瓶座,33,124,m,江苏,6,False,-1
8318,临江羡雪,-1,天秤座,103,291,f,江苏,3,False,-1
8319,甜食害人精,90,处女座,1211,316,f,湖南,6,False,-1
8320,排球的影日,00,狮子座,19,154,f,广东,0,False,-1
8321,祝我诸事顺利叭,90,射手座,263,439,f,山东,0,False,-1
8322,-梅斯特罗姆,-1,双鱼座,550,194,m,黑龙江,6,False,-1
8323,Cisssell,00,射手座,47,593,m,四川,3,False,-1
8324,走野1129,90,射手座,291,4360,m,山东,1,False,-1
8325,shrkwyfn,90,处女座,21,256,f,江苏,3,False,-1
8326,挥着小黄旗的李洪基,90,金牛座,472,1132,f,湖南,1,False,-1
8327,没法愉快玩耍,-1,天秤座,12,61,f,山西,6,False,-1
8328,魔王懒,90,天秤座,158,839,f,上海,6,False,-1
8329,生吞蜜瓜包,00,双子座,83,565,f,重庆,1,False,-1
8330,不叽道取啥子名哦,20,摩羯座,63,511,f,北京,1,False,-1
8331,卡曼橘c,-1,双鱼座,345,972,f,内蒙古,3,False,-1
8332,万兔姐弟,-1,天秤座,8,232,f,四川,2,False,-1
8333,关你屁事闲的没事没事找事,-1,白羊座,269,64,m,湖北,1,False,-1
8334,我在非洲种香菜,00,处女座,295,281,f,江苏,4,False,-1
8335,没法愉快玩耍,-1,天秤座,12,61,f,山西,6,False,-1
8336,今天是吉日,00,水瓶座,257,203,f,上海,1,False,-1
8337,魔王樣_,90,水瓶座,2574,642,f,广东,6,True,0
8338,年年困告,20,金牛座,1222,437,f,广东,2,False,-1
8339,潶酷黒,-1,水瓶座,200,857,f,四川,4,False,-1
8340,HwangYQ,-1,狮子座,801,576,f,广东,6,False,220
8341,自闭选手陸瑜,00,双子座,7891,1289,f,广东,6,True,0
8342,呸呸兔子吱,90,处女座,171,2090,f,江苏,1,False,-1
8343,Just_Another_Ling,90,白羊座,175,581,f,上海,7,False,220
8344,流沙暗溪-,00,金牛座,174,703,f,广东,6,False,-1
8345,百事可乐小阿叶,90,白羊座,123,554,f,上海,0,False,-1
8346,月白色Rhys,-1,双子座,85,380,m,广东,5,False,-1
8347,穆清xy,-1,狮子座,99,349,f,广东,6,True,0
8348,-旺仔仔仔分你一半,10,天秤座,1425,417,f,辽宁,7,True,0
8349,creaspate,00,处女座,8,376,f,山东,0,False,-1
8350,凉凉小姐yt,90,天秤座,3014,534,f,上海,4,False,-1
8351,-7号岩芯-,10,双鱼座,117,498,f,北京,0,False,-1
8352,-烟花无数次,00,摩羯座,23,2098,f,湖北,0,False,-1
8353,人生在世能否再做水母怪,-1,狮子座,657,846,m,广东,3,False,-1
8354,米开朗菜缘,90,摩羯座,725,391,f,福建,7,False,220
8355,一直发疯一直开心,00,天蝎座,38,584,f,重庆,3,False,-1
8356,Lara-2020,70,巨蟹座,7,135,f,北京,0,False,-1
8357,日常放飞自我201507,90,双鱼座,72,443,f,河北,6,True,0
8358,四月是ta酱的谎言-,-1,金牛座,112,157,f,浙江,4,False,-1
8359,一只咸香菜猪猪,-1,狮子座,278,167,f,上海,2,False,-1
8360,用户7656777028,00,巨蟹座,1,105,f,重庆,0,False,-1
8361,公子喵233,-1,双鱼座,34,492,f,北京,4,False,-1
8362,w楠笙w,-1,摩羯座,150,720,f,广东,1,False,-1
