id,screen_name,year,xinzuo,followers_count,friends_count,gender,location,mbrank,verified,verified_type
0,斫琴师梵戈,-1,摩羯座,1030409,100,m,北京,6,True,0
1,YY小舟,-1,巨蟹座,178,346,f,河南,6,False,-1
2,喜欢两脚兽,-1,双子座,1,12,f,北京,0,False,-1
3,久久不忘的朱朱,80,白羊座,211,352,f,湖北,7,True,0
4,阿翟立东风,90,双子座,11108,701,f,上海,7,False,-1
5,AH么HA,-1,双子座,1532,1083,f,重庆,7,True,0
6,大耳朵的rabbit,00,摩羯座,5,125,m,北京,2,False,-1
7,张铁驳,00,双鱼座,3,124,f,上海,1,False,-1
8,稀粥小狐狸玛尔其玛,00,摩羯座,8,123,f,广西,0,False,-1
9,不另外加糖叻,90,狮子座,50,99,f,江苏,6,False,-1
10,果果果Only,90,射手座,3,126,f,河北,2,False,-1
11,嗨嗨的迷妹泡,90,狮子座,1617,176,f,安徽,6,False,-1
12,矢程舒苯桦,80,白羊座,1490,703,f,湖北,1,True,0
13,矢程舒苯桦,80,白羊座,1490,703,f,湖北,1,True,0
14,来一碗皮蛋瘦肉粥OK,00,双子座,6,347,f,广东,0,False,-1
15,落落与风,-1,水瓶座,7,5,f,山东,0,False,-1
16,望旧疾冰,20,双子座,300,150,f,重庆,6,False,-1
17,Cready祈祷,-1,双鱼座,1034,1922,f,北京,7,True,0
18,你有几根头发丝儿,90,水瓶座,53,87,f,北京,0,False,-1
19,圆子动物园,-1,水瓶座,16,77,f,湖北,0,False,-1
20,一口真可乐,90,双鱼座,43,213,f,广西,1,False,-1
21,是Captainnnn,90,天蝎座,372,862,f,上海,8,False,220
22,系个靓崽,00,天秤座,2402,617,f,广东,6,True,0
23,球球今天饿死了吗,-1,双子座,119,172,f,陕西,1,False,-1
24,MuZZZZE,-1,天蝎座,35,74,f,辽宁,1,False,-1
25,东施嬉皮-,00,双鱼座,433,380,f,重庆,1,False,-1
26,要做高冷的李小姐,-1,水瓶座,511,706,f,江苏,3,False,-1
27,吃个鸭梨Ya-,-1,射手座,62,216,f,新疆,0,False,-1
28,小羊咕噜呼噜AH,-1,狮子座,137,194,f,四川,1,False,-1
29,吃干锅土豆-,00,金牛座,61,277,f,安徽,0,False,-1
30,阿天懒懒懒,-1,狮子座,269,730,f,北京,1,False,-1
31,林三少年,00,狮子座,12,181,f,北京,0,False,-1
32,有志不在年糕198104,90,双子座,11,139,f,江苏,0,False,-1
33,普通用户0607,-1,双子座,88,739,f,上海,0,False,-1
34,大白熊plus,90,天蝎座,141,193,m,浙江,1,False,-1
35,小玥紫,80,双鱼座,32,64,f,湖北,0,False,-1
36,小叶本叶·Reparo,-1,射手座,45,125,f,福建,4,False,-1
37,Oh我Oh,70,摩羯座,1,228,m,北京,0,False,-1
38,莱农塔拉,90,巨蟹座,486,1706,f,山东,6,False,-1
39,Johnmaneil杨周炒饭,-1,巨蟹座,626,5005,m,广西,1,False,-1
40,2015ninawang,80,摩羯座,78,517,f,山东,0,False,-1
41,金蝙蝠来了,-1,水瓶座,1,80,m,北京,1,False,-1
42,赏心瀹目_837,80,天蝎座,5,125,m,山西,0,False,-1
43,我是我内心的平静与自由,-1,巨蟹座,201,292,m,北京,1,False,-1
44,早得洛夫斯基花,90,天秤座,711,762,f,湖南,6,False,220
45,项上XS_,00,双鱼座,678,458,m,北京,1,True,0
46,Mid-SummerOTZ,80,双子座,930,1370,f,浙江,0,False,-1
47,Frothyen,-1,双子座,149,333,f,江苏,0,False,-1
48,燕麦片55321,00,狮子座,5,784,f,湖南,1,False,-1
49,hy的专属_,00,处女座,185,1376,f,湖北,7,False,-1
50,W绿袖子W,80,白羊座,104,571,f,湖南,0,False,-1
51,不想拔智齿qqq,-1,天蝎座,10,146,f,上海,1,False,-1
52,妄想呶呶J,-1,金牛座,203,412,f,西藏,1,False,-1
53,李小娟bbb,00,处女座,74,906,m,江西,0,False,-1
54,绕过沼泽地的朵儿,80,摩羯座,362,1968,f,江苏,0,False,-1
55,u_Augenstern,-1,处女座,111,482,f,江苏,1,False,-1
56,爱乐小六月儿,90,射手座,557,682,f,广东,5,False,-1
57,一支废花,90,巨蟹座,84,974,m,上海,0,False,-1
58,云深海清,00,天蝎座,1,43,f,湖南,0,False,-1
59,ChacuChallhua,70,摩羯座,1942,741,f,上海,1,True,0
60,book思议22,-1,狮子座,395,654,f,山东,3,False,-1
61,久久爱jack,90,处女座,574,202,f,北京,0,False,-1
62,绿汪汪儿,90,白羊座,381,480,f,天津,7,False,-1
63,火红的丑梨,90,天秤座,3537,1269,m,北京,1,False,220
64,晴晴今天控糖了吗,00,白羊座,1454,1136,f,天津,1,False,-1
65,已经娶到式姐de灰,90,双鱼座,978,566,f,安徽,6,False,220
66,私人宇宙_,-1,天秤座,171,452,f,北京,0,False,-1
67,仓_小蓝_10969,90,水瓶座,514,1212,f,天津,0,True,0
68,雪霁桐析反应,00,处女座,650,819,f,江苏,6,True,0
69,汀江水煮咸鱼,-1,天蝎座,208,536,f,广西,2,False,-1
70,49neer,90,射手座,56,290,f,北京,1,False,-1
71,正版沫汐tttt,-1,白羊座,477,852,f,河南,2,False,-1
72,是pianpian_吗,90,天蝎座,402,191,f,江苏,1,False,-1
73,柚子盒波儿,90,天蝎座,58,368,f,北京,0,False,-1
74,火山没有喷,-1,天秤座,639,473,f,北京,0,False,-1
75,up毛巾,-1,摩羯座,327,255,m,江苏,1,False,-1
76,小狗的心也是肉做的呜呜,-1,巨蟹座,29,309,f,江苏,1,False,-1
77,小小小叶sama,-1,金牛座,1573,746,f,上海,7,False,-1
78,我抓住你了o,-1,双子座,1975,564,f,江苏,1,False,-1
79,空涳小鸿薯,90,双鱼座,8,11,m,北京,0,False,-1
80,·南风之熏·,90,双子座,1565,589,f,北京,0,False,-1
81,大大的三公子,-1,双子座,255,1673,f,广东,0,False,-1
82,言妩浅浅Mua,90,摩羯座,136,104,f,浙江,1,False,-1
83,朱家小暑,90,巨蟹座,54,278,m,江苏,4,False,-1
84,Y好粥吖好粥Y,-1,巨蟹座,62,769,f,四川,0,False,-1
85,heartheme,-1,白羊座,102,468,f,天津,5,False,-1
86,HiKariQAQ,-1,双鱼座,1309,341,f,北京,8,False,-1
87,叶下洞庭初__,-1,狮子座,162,214,f,江苏,6,False,-1
88,AAAAAAabsurd,00,射手座,11,229,f,河北,0,False,-1
89,芝-芝-酱-,90,射手座,2434,959,f,浙江,0,False,-1
90,Dinozzo_long,-1,双子座,189,565,m,湖南,2,False,-1
91,一生很短暂所以要吃饭,-1,白羊座,104,440,f,四川,7,False,-1
92,浮生一七梦,-1,狮子座,26,301,f,辽宁,1,False,-1
93,KATENITSU,-1,天蝎座,207,78,f,上海,6,False,-1
94,爱吃西瓜的雯雯,-1,天蝎座,148,310,f,河南,6,True,0
95,时共雁声流,-1,天秤座,5039,218,f,北京,5,False,-1
96,榴莲猫山王女士,-1,摩羯座,411,2192,f,山东,1,True,0
97,我是渡边家的ww,90,双鱼座,766,365,f,重庆,7,False,-1
98,BaoBao困困·,90,狮子座,116,160,f,广东,6,False,-1
99,限定三月春光再贩-,90,白羊座,1147,780,f,江苏,6,True,0
100,daisy__panpanpan,-1,双鱼座,146,238,f,江苏,4,False,-1
101,陌少湫,90,天秤座,32,226,f,上海,0,False,-1
102,Moodo-photograph,-1,射手座,285,518,f,辽宁,0,False,-1
103,予晚安,-1,狮子座,1543,167,f,上海,5,True,0
104,泰西_Taexi,90,巨蟹座,447,308,f,湖北,2,True,0
105,裴77777,-1,巨蟹座,128,1293,f,贵州,6,True,0
106,看微博的人儿,90,狮子座,3,49,m,浙江,0,False,-1
107,六冠牛崽的牛奶糖呀,90,双子座,104,232,f,江苏,6,False,-1
108,竹荚花,-1,狮子座,97,109,m,河南,1,False,-1
109,notrealmanm,00,射手座,112,485,f,浙江,0,False,-1
110,喜乐章二三事,-1,双鱼座,2517,1079,f,山东,7,False,-1
111,J6o6y,-1,狮子座,306,307,m,上海,1,False,220
112,SiuKei-,-1,双鱼座,1005,353,m,广东,6,False,-1
113,茉香奶茶双倍芋头,-1,处女座,63,289,f,湖南,1,False,-1
114,·我遇見了人類,-1,白羊座,1402,1196,f,北京,7,False,220
115,Timi-柒斩,90,摩羯座,1986,667,f,湖北,1,True,0
116,某位腿长两米四的微博用户,-1,天秤座,527,495,f,山东,0,False,-1
117,Mega暴鲤龙使用了水溅跃,-1,巨蟹座,205,204,m,上海,1,False,-1
118,侯咩咩,-1,射手座,161,267,f,陕西,7,False,-1
119,镜子里面会有白椿花吗,-1,金牛座,75,805,f,重庆,1,False,-1
120,熔岩限免,90,摩羯座,449,403,f,云南,7,False,-1
121,今天好好睡觉了没呀,00,天秤座,122,374,f,河北,3,False,-1
122,可可栗子茶茶,90,天蝎座,1,164,f,安徽,0,False,-1
123,一口汪喵派,-1,金牛座,460,239,f,广东,3,False,-1
124,一只豆腐佬,90,天秤座,483,783,f,山东,6,False,220
125,东游我醉骑鲸去_,90,狮子座,618,336,f,云南,7,True,0
126,三二柒菠萝仔,90,处女座,1475,507,f,安徽,5,True,0
127,火锅串串真好吃,10,金牛座,433,118,f,四川,6,False,-1
128,口罩hentai,90,双鱼座,3869,1751,m,上海,7,False,-1
129,早市小白,90,射手座,154,242,f,河南,4,True,0
130,光翼猫,10,狮子座,2489,843,f,广东,6,False,-1
131,戳出一颗小酒窝,-1,水瓶座,171,203,f,北京,0,False,-1
132,吃瓜不爱瓜,90,处女座,1,115,m,西藏,0,False,-1
133,一盒雨水的精神世界,-1,双子座,62,408,m,重庆,1,False,-1
134,伊伊丫丫小可爱,-1,巨蟹座,884,159,f,上海,6,True,0
135,津G10585,-1,天蝎座,124,58,f,天津,1,True,0
136,不吃基围虾的肥宅,90,金牛座,20,177,f,云南,0,False,-1
137,丨山中何事丨,-1,双鱼座,423,981,f,江西,0,True,0
138,Valoranism,-1,天秤座,578,99,f,江苏,4,False,-1
139,萌熊萌萌萌,90,双鱼座,1433,742,f,湖南,7,True,0
140,ksywsl,00,白羊座,288,812,m,北京,6,False,-1
141,Halo锦鲤,00,摩羯座,289,392,f,北京,1,False,-1
142,兔咪爱吃香菜,90,天秤座,79,483,f,安徽,6,False,-1
143,所处皆是星河,-1,天蝎座,59,446,f,广东,1,False,-1
144,Pineapple54,-1,金牛座,184,109,f,湖南,3,False,-1
145,江馨哀__每天都梦想着发财呀,90,白羊座,470,1169,f,广西,7,False,-1
146,望月夏向厨,00,金牛座,1223,1049,f,浙江,6,False,-1
147,梦中惊醒bot,-1,水瓶座,6,83,f,山东,0,False,-1
148,桐梓wing,-1,天蝎座,46,159,m,湖北,0,False,-1
149,不二嘉--,00,水瓶座,162,461,f,福建,1,False,-1
150,宝莉爱吃榴莲,90,狮子座,661,765,f,广东,1,False,220
151,阿魂不是天然呆,90,天蝎座,229161,4528,f,浙江,8,True,0
152,坤哥的小猫咪ly,90,射手座,11014,737,f,湖南,2,True,0
153,正版-狐狸,00,摩羯座,344,1206,f,辽宁,1,False,-1
154,说唱不会呼吸停止,90,金牛座,6,36,m,甘肃,0,False,-1
155,Primavera-18,00,金牛座,22,179,f,广东,1,False,-1
156,说唱不会呼吸停止,90,金牛座,6,36,m,甘肃,0,False,-1
157,橘子味的哈哈,10,狮子座,33,252,f,广东,1,False,-1
158,罪梦幻想曲,00,摩羯座,9,421,f,河北,0,False,-1
159,小瑶子-快乐摸鱼每一天,90,白羊座,388,564,f,湖北,2,False,220
160,DCY76星云,-1,处女座,208,951,f,福建,1,False,-1
161,托马斯的小火车在灯火阑珊处,-1,摩羯座,273,291,f,湖南,1,False,-1
162,foreverydayl,-1,摩羯座,588,726,m,上海,1,False,-1
163,绵绵冰Julia,90,天秤座,1083,929,f,广东,3,True,0
164,百香芒果啵啵茶,-1,摩羯座,249,408,f,上海,1,False,-1
165,毓言不会预言,00,金牛座,127,415,f,广东,3,True,0
166,小李和家人2023要平安,-1,巨蟹座,64,427,m,福建,0,False,-1
167,云何时经过,-1,射手座,151,447,m,福建,4,True,0
168,Mmmiann,00,水瓶座,3977,116,f,四川,4,False,-1
169,青青的仰望123,90,摩羯座,2,223,m,河南,0,False,-1
170,Sweetbaby_sun,-1,天蝎座,11186,470,f,辽宁,6,True,0
171,糖乐多_,-1,射手座,283,777,f,北京,2,False,-1
172,mo小文,90,处女座,734,1745,f,江苏,4,False,-1
173,STARRY星辉映川,-1,处女座,48563,1554,f,广东,6,True,0
174,Jetaivu-kry,-1,天蝎座,32,148,m,福建,0,False,-1
175,锤你就完了_恐男版,00,处女座,443,385,f,江苏,6,False,-1
176,几山鹤,00,天蝎座,1050,416,m,四川,6,True,0
177,元元_好运怜怜,00,水瓶座,227,460,f,湖南,2,False,-1
178,鸟曰凤皇丹水出焉,-1,狮子座,9,170,f,河南,2,False,-1
179,说我矮我就不理你,00,金牛座,670,292,f,广西,0,False,-1
180,弋洛的AD钙奶,-1,水瓶座,286,371,f,广东,6,True,0
181,-冰河时代-,-1,天秤座,145,337,f,上海,4,False,-1
182,饼饼要快乐哟,00,处女座,762,907,f,甘肃,4,False,-1
183,雨落昕界,80,白羊座,28,115,f,湖北,4,False,-1
184,所以要来杯咖啡吗,90,双子座,143,547,f,浙江,2,False,-1
185,芝士奶盖皮皮,-1,摩羯座,450,303,f,山东,4,False,220
186,奶酱Miruku,90,白羊座,2264,567,f,北京,5,True,0
187,戴老板的蛇蛇和恐龙,90,双鱼座,160,308,f,湖南,6,False,-1
188,格洛米借你了,-1,天蝎座,13,17,f,安徽,0,False,-1
189,susannasui,-1,天秤座,558,884,f,广东,0,False,220
190,bearock0,00,水瓶座,9,149,f,陕西,0,False,-1
191,三毛不掉毛,00,摩羯座,101,235,f,辽宁,6,True,0
192,云间瑶月_,-1,水瓶座,13,546,f,广东,2,False,-1
193,可颂甜甜轩,00,金牛座,400,760,f,辽宁,6,True,0
194,叫我包包就好,00,巨蟹座,123,477,f,湖南,1,False,-1
195,木寻玖yu,00,双子座,11,173,f,湖南,2,False,-1
196,欣记圆start,-1,水瓶座,258,312,f,北京,2,False,-1
197,freedom_212222,-1,双子座,633,529,f,浙江,4,True,0
198,爆炒笋菜_,00,天蝎座,83,428,f,北京,4,False,-1
199,Ray_Pak,80,白羊座,597,343,m,上海,0,False,220
200,kjmxxxs,-1,双子座,74,113,f,安徽,1,False,-1
201,橙子汁来了,-1,双子座,769,216,f,上海,2,True,0
202,mui1986327,90,天秤座,98,76,f,北京,0,False,-1
203,肘波Bobby,90,天秤座,4741,601,m,上海,7,False,220
204,余小白wicky,-1,处女座,116,96,f,四川,0,False,-1
205,橙子汁来了,-1,双子座,769,216,f,上海,2,True,0
206,年岁如初,-1,天蝎座,339,133,f,陕西,3,False,-1
207,一满筐暮色,00,天秤座,510,593,f,湖南,5,True,0
208,狐蓝色mz,80,狮子座,939,501,f,北京,4,False,-1
209,快乐人卡布达,-1,巨蟹座,2653,253,f,天津,7,True,0
210,心要嘢馬,00,巨蟹座,3,92,f,北京,1,False,-1
211,夕蓦·,-1,狮子座,1205,201,f,陕西,7,True,0
212,居居的怡仔包呀,-1,摩羯座,190,720,f,广西,1,False,-1
213,美好的事可否發生在我身上,90,天蝎座,6582,235,m,浙江,6,True,0
214,撞南墙也不回头啊,00,白羊座,389,530,f,山东,2,True,0
215,艾斯每天在装死,00,水瓶座,101,140,f,湖北,0,False,-1
216,太阳神Zzz,90,双子座,119,82,f,河南,1,False,-1
217,Dobbyfree2,-1,金牛座,852,202,f,广东,7,False,-1
218,Dear-阿勋,00,天蝎座,2027,1270,f,山东,5,True,0
219,-Mniuu-,-1,巨蟹座,83,92,f,广西,6,False,-1
220,剪我樱桃,-1,双子座,49,726,f,浙江,6,False,-1
221,Grhessuty_,-1,水瓶座,1752,1727,f,北京,5,False,-1
222,长不高的佛系少女,90,巨蟹座,67,103,f,广西,0,False,-1
223,系坠好滴猪猪,00,狮子座,2,171,f,北京,1,False,-1
224,杨山风的怪七宝,10,天蝎座,287,341,m,河南,4,False,-1
225,系坠好滴猪猪,00,狮子座,2,171,f,北京,1,False,-1
226,蛸錦,90,天秤座,1897,280,f,北京,7,True,0
227,2号幸运考生,00,狮子座,106,55,f,福建,1,False,-1
228,bombs官,90,巨蟹座,9866,220,f,广东,7,False,-1
229,一只馒头-,10,天蝎座,120,339,m,江西,5,False,-1
230,干饭小皮ww,00,金牛座,97,225,f,上海,0,False,-1
231,猫永远是对的,90,摩羯座,11117,2697,f,北京,8,True,0
232,都可以但是等我睡醒,-1,双子座,3059,564,m,广西,5,True,0
233,吧啦啵啵啵-,-1,天秤座,296,1012,f,四川,1,False,-1
234,Oli来自于七海,-1,金牛座,353,207,f,上海,0,False,-1
235,无聊的花花花花啊,00,天蝎座,488,44,f,湖北,0,False,-1
236,Snegourotchka,00,处女座,223,148,f,福建,0,False,-1
237,全麦兔司不加黄瓜,-1,摩羯座,54,383,f,湖南,5,False,-1
238,曲未终3,-1,处女座,59,70,m,浙江,0,False,-1
239,酒甜柒,-1,双子座,1060,135,f,浙江,4,False,-1
240,ThanatosB4UGO,90,摩羯座,170,460,f,河南,7,False,-1
241,-长楸-,-1,狮子座,299,394,f,湖北,0,False,-1
242,Elspeth_,90,双子座,125,300,f,天津,6,False,-1
243,冬天也成为过去式了,-1,天秤座,37,212,f,江西,1,False,-1
244,旖风思念,40,巨蟹座,431,484,m,广西,6,False,-1
245,Sueround_0211,90,摩羯座,112,158,f,上海,1,False,-1
246,星期三和九月,20,狮子座,1224,226,f,海南,4,True,0
247,i橘沫,00,射手座,141,406,f,北京,1,True,0
248,日语同传君,-1,天蝎座,5887,282,f,四川,5,True,0
249,爱笑的豆豆时代,-1,双子座,125,553,f,天津,0,False,-1
250,一颗茶树菇菇,90,水瓶座,70,114,f,天津,1,False,-1
251,做狗狗爱好者,90,天蝎座,6,41,f,四川,1,False,-1
252,iMin_er,00,天蝎座,246,304,m,山西,2,False,-1
253,我也有星星啊,00,摩羯座,4,23,f,河南,0,False,-1
254,梦把我从万花筒推落丿,00,摩羯座,729,461,f,广东,5,False,-1
255,阿屎不能熬夜,-1,巨蟹座,19,414,f,湖北,1,False,-1
256,下雪天共情,-1,水瓶座,4677,66,f,湖南,6,True,0
257,不知道叫嘛的微博,-1,摩羯座,160,1895,f,广东,1,False,-1
258,肉莎本莎,90,摩羯座,218,1430,f,湖南,6,False,-1
259,Sunsetroy,00,狮子座,2,67,f,湖北,0,False,-1
260,冷漠的阿猪崽,-1,双鱼座,32,31,m,江西,6,False,-1
261,小韩碎碎念_,90,天蝎座,354,666,f,天津,1,False,-1
262,复壹,00,巨蟹座,25,258,f,湖北,0,False,-1
263,思瑶不吃胡萝卜,90,巨蟹座,3263,658,f,辽宁,5,False,-1
264,叁玖樲十七,-1,白羊座,216,599,f,浙江,4,False,-1
265,小小秒秒毛毛,80,金牛座,2,55,f,安徽,0,False,-1
266,别动我的血气针_,90,天蝎座,265,540,f,天津,7,False,-1
267,边baekhyunkkkk,-1,天蝎座,84,391,f,广西,0,False,-1
268,再碰感情必遭天谴,-1,处女座,34,153,m,江苏,0,False,-1
269,小橘吃饭啦,00,天蝎座,240,162,f,天津,2,False,-1
270,杳杳寒山远·,90,双鱼座,10,231,f,天津,5,False,-1
271,Ajun557,90,狮子座,42,59,f,湖南,0,False,-1
272,雁塔首帅占星星,-1,射手座,8068,394,m,陕西,7,False,-1
273,小赞啵啵呀,-1,摩羯座,317,3332,f,浙江,6,True,0
274,Loveduskytea,80,摩羯座,43,139,f,北京,0,False,-1
275,魚头魚头煮汤不愁,-1,水瓶座,9059,281,f,上海,1,False,-1
276,一条爱吃鱼的喵,90,天秤座,363,602,f,河南,0,False,-1
277,我-是-小-叔-子,90,天秤座,403,152,f,广东,6,True,0
278,blueblue-oo,90,金牛座,511,136,f,四川,5,False,220
279,natsu-ki,00,白羊座,100,533,f,陕西,3,False,-1
280,香草奶油手指泡芙,00,摩羯座,181,1355,f,吉林,1,True,0
281,太自我,-1,双鱼座,1112,697,f,江西,3,True,0
282,渣渣喵_梅洛,-1,水瓶座,38,888,f,陕西,6,False,-1
283,砂糖橘收豁机使者,00,天蝎座,9,114,m,广东,1,False,-1
284,乱了夏末蓝了海i_Angel,00,天秤座,159,525,f,陕西,1,False,-1
285,ritb_,00,摩羯座,723,1509,f,湖南,4,False,-1
286,小彭姓彭_,-1,天秤座,473,474,f,湖南,2,False,-1
287,玖肆与柒,00,金牛座,124,888,f,江西,1,False,-1
288,-我推世界第一,-1,金牛座,510,2055,f,上海,5,False,-1
289,Y1-20,00,水瓶座,1278,1221,f,天津,4,False,-1
290,有猫的苏小鬼,90,双鱼座,1702,726,f,江西,3,False,-1
291,妖了个刀刀刀刀,90,白羊座,126,340,m,上海,1,False,-1
292,呦呦鹿鸣luckygirl,-1,天蝎座,761,592,f,天津,6,True,0
293,SHINIYANA,90,双鱼座,4969,310,f,上海,7,True,0
294,此曲有误君不语,-1,天蝎座,266,235,f,黑龙江,0,True,0
295,是你的老可爱,-1,水瓶座,358,227,f,黑龙江,7,False,-1
296,蔬菜就是最坏的,-1,双鱼座,13,223,f,河南,0,False,-1
297,猪猪大大宝,00,射手座,24,240,f,陕西,0,False,-1
298,炸毛不掉毛,00,天秤座,35,195,f,江苏,1,False,-1
299,Larissassa,-1,狮子座,104,388,f,黑龙江,1,False,-1
300,砂糖橘哟,90,双鱼座,513,649,f,四川,5,False,-1
301,kennel_red,-1,处女座,51,753,f,福建,0,False,-1
302,李宝宝0914,90,处女座,2,29,f,广东,1,False,-1
303,小狗背包客_,-1,狮子座,556,483,f,湖南,5,False,-1
304,陳温婉ww,-1,摩羯座,381,603,f,重庆,5,False,-1
305,努力干饭喵,-1,摩羯座,220,1669,f,重庆,6,False,-1
306,铁汁源果立成,00,天秤座,85,295,f,四川,0,False,-1
307,真叫龟头大,-1,处女座,12,317,f,河南,3,False,-1
308,不入爱河的小美人鱼,00,摩羯座,51,237,f,云南,1,False,-1
309,LLLLumos-,-1,摩羯座,26,227,f,广东,0,False,-1
310,野原小叮当儿,10,双子座,121,550,f,上海,1,False,-1
311,老洞老洞老鼠打洞,-1,巨蟹座,512,456,f,重庆,1,False,-1
312,好饿的企鹅,00,摩羯座,2,15,f,北京,0,False,-1
313,19970405QAQ,90,狮子座,527,707,f,浙江,7,True,0
314,To-be-blind-To-be-loved,90,水瓶座,682,255,f,陕西,7,False,-1
315,看一眼流星ing_,-1,狮子座,625,216,f,北京,0,True,0
316,此刻月色与飞雪在侧,90,水瓶座,248,664,f,山西,1,False,-1
317,看一眼流星ing_,-1,狮子座,625,216,f,北京,0,True,0
318,听说明天不上班,00,巨蟹座,8,963,f,广东,1,False,-1
319,柚柚大福_,90,巨蟹座,229,174,f,上海,2,False,-1
320,TOY嘻嘻,-1,天蝎座,25,357,f,广东,1,False,-1
321,吃宝宝大赛第一名姆妈,-1,摩羯座,705,462,f,上海,1,False,220
322,电影Mook,00,双子座,518793,1117,f,北京,7,True,0
323,Jiang_江江江江,90,射手座,989,338,f,广东,1,False,-1
324,moly的羊,00,射手座,170,1518,f,北京,0,False,-1
325,萧小五五五-,10,双鱼座,681,299,f,四川,0,False,-1
326,娱乐圈里挑瓜子,00,处女座,507,1018,f,广东,2,False,-1
327,不理我就算咯,-1,天秤座,204,359,f,重庆,6,False,-1
328,流星不落雨,-1,天秤座,8,101,f,山东,3,False,-1
329,v你再说一遍,90,金牛座,11,465,f,江西,1,False,-1
330,大智若愚est,-1,处女座,266,127,f,福建,0,False,-1
331,加一罐奶球,-1,金牛座,1,46,f,上海,4,False,-1
332,翻卷牌oo,10,狮子座,84,236,f,四川,2,True,0
333,不要再吃辣--,00,狮子座,1,65,f,河南,0,False,-1
334,余青澜,90,处女座,185,639,f,重庆,6,False,-1
335,cestlavie_227,00,双鱼座,96,62,f,陕西,1,False,-1
336,时代少年团-刘耀夊,00,双子座,6,28,f,重庆,1,False,-1
337,fu扇扇今天不会没学习吧,90,双鱼座,545,312,f,上海,5,False,-1
338,皂皂michiru_专业嗑冷cp,90,天蝎座,673,631,f,山东,6,True,0
339,咩咩咩不咕咕,-1,天秤座,203,333,f,安徽,0,False,-1
340,justjustjst,10,水瓶座,11,119,f,黑龙江,6,False,-1
341,一尺八寸-,-1,巨蟹座,17,195,f,新疆,4,False,-1
342,头像就是我爱好,80,射手座,858,1586,f,江苏,0,False,220
343,陪伴FB,90,天秤座,45,2198,f,北京,0,False,-1
344,喜欢撒娇小狗w,00,天蝎座,5,142,f,重庆,1,False,-1
345,硬汉宇宙人,00,双子座,8617,782,f,广东,7,True,0
346,姬腿菇,-1,摩羯座,248,479,f,重庆,4,False,-1
347,龙水夜-水水,90,白羊座,1910,857,m,江苏,3,True,0
348,千岛寒流__,-1,双子座,32,95,f,上海,4,False,-1
349,钮祜禄白菜心,10,处女座,1047,237,f,江苏,4,True,0
350,蜂脑,-1,射手座,5,687,f,山东,0,False,-1
351,花Young小楠orz,-1,双子座,10,363,m,广东,0,False,-1
352,从夏天开始的爱恋,-1,处女座,41,689,f,湖南,0,False,-1
353,AllforSakkun,-1,射手座,208,272,m,重庆,1,True,0
354,小董星球出逃计划,-1,天秤座,512,619,f,湖北,1,False,-1
355,小黄要早点睡呀,00,处女座,105,156,f,湖南,0,False,-1
356,好大一盘棋啊,00,金牛座,37,109,f,山东,2,False,-1
357,-步莲生-,90,白羊座,1,24,f,重庆,0,False,-1
358,一张补签卡,90,巨蟹座,3880,135,m,湖南,4,False,-1
359,暝云吹酒,00,金牛座,64,314,m,吉林,6,False,-1
360,海盐有点咸,-1,天秤座,202,730,f,上海,2,True,0
361,我要吃金丝虾球,-1,狮子座,29,183,f,重庆,6,False,-1
362,随机生成一个新名字,10,双鱼座,1498,1103,f,上海,5,True,0
363,青橙晓竹,70,水瓶座,14,167,f,山西,5,False,-1
364,我嘴巴笑起来是梯形的,-1,天蝎座,1322,533,f,重庆,6,True,0
365,o小猫作词家o,-1,天秤座,70,582,f,江苏,3,False,-1
366,心里没了鹿,-1,处女座,270,153,f,湖南,6,True,0
367,摆烂看书人,-1,白羊座,2404,1187,f,福建,7,False,-1
368,用户7624294188,00,狮子座,1,108,m,辽宁,0,False,-1
369,窝不是我那窝是谁_,00,处女座,91,343,f,天津,3,False,-1
370,我叫小鸣同学,00,白羊座,84,991,f,浙江,0,False,-1
371,欣欣的卷儿,-1,摩羯座,92,215,f,广东,1,False,-1
372,我是一个高赛大学生,00,天蝎座,34,120,f,福建,2,False,-1
373,美丽动人偷马头,-1,白羊座,1344,1793,f,四川,5,False,-1
374,麦辣鸡翅来十对,-1,双子座,97,497,m,北京,1,False,-1
375,兔饱子林,90,金牛座,87,338,f,山西,1,True,0
376,彤彤_tong,90,双鱼座,152,860,f,广东,0,False,-1
377,a我趴在云边_,-1,金牛座,34,127,f,河南,0,False,-1
378,迷迷糊糊的小甜瓜,-1,狮子座,72,618,f,山东,1,False,-1
379,宇宙一级睡觉专家,80,水瓶座,566,962,m,北京,2,True,0
380,愿作星辰只为你一人闪耀,90,天秤座,99,459,f,贵州,1,False,-1
381,是小仙驴哦,90,狮子座,398,357,f,河北,5,False,-1
382,谢谢泥萌·,-1,水瓶座,1509,315,f,天津,7,False,220
383,阿甜Sweetier,-1,双鱼座,322,293,f,天津,2,False,-1
384,单眼皮狗塑激推bot_,-1,狮子座,84,353,f,湖北,0,False,-1
385,花卷bili,-1,狮子座,278,309,f,陕西,1,False,220
386,一丁点柯艾,00,双子座,199,447,f,广西,6,False,-1
387,Ken7777_,00,射手座,336,925,f,江西,4,True,0
388,下輩子想做只喵,90,水瓶座,122,284,f,天津,0,False,-1
389,bo了个大啵儿_哈,90,狮子座,210,494,f,北京,7,False,220
390,Wealllie-_-,-1,射手座,224,1900,f,湖北,0,False,-1
